Account,Date,Transaction type,Num,Name,Description,Full name,Account,Amount,Balance
PayPal Fees,11/10/23,Deposit,4M375196YS401223R,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53 ,"$60,428.36 "
PayPal Bank 3,11/10/23,Deposit,265038198F498983U,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 265038198F498983Uhttps://www.paypal.com/activity/payment/265038198F498983U,PayPal Bank 3,--,$96.02 ,"$60,524.38 "
Donations directed by individuals,11/10/23,Deposit,265038198F498983U,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00 ,"$60,624.38 "
PayPal Fees,11/10/23,Deposit,265038198F498983U,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.98 ,"$60,628.36 "
PayPal Bank 3,11/10/23,Deposit,39V47375DL031561N,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 39V47375DL031561Nhttps://www.paypal.com/activity/payment/39V47375DL031561N,PayPal Bank 3,--,$49.23 ,"$60,677.59 "
Donations directed by individuals,11/10/23,Deposit,39V47375DL031561N,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$60,729.11 "
PayPal Fees,11/10/23,Deposit,39V47375DL031561N,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.29 ,"$60,731.40 "
PayPal Bank 3,11/10/23,Deposit,4UC672896T226773P,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 4UC672896T226773Phttps://www.paypal.com/activity/payment/4UC672896T226773P,PayPal Bank 3,--,$9.16 ,"$60,740.56 "
Donations directed by individuals,11/10/23,Deposit,4UC672896T226773P,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00 ,"$60,750.56 "
PayPal Fees,11/10/23,Deposit,4UC672896T226773P,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84 ,"$60,751.40 "
PayPal Bank 3,11/10/23,Deposit,9UV35178ER036441J,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageNote: Donation for Saving UkraineTransaction ID: 9UV35178ER036441Jhttps://www.paypal.com/activity/payment/9UV35178ER036441J,PayPal Bank 3,--,$100.00 ,"$60,851.40 "
Donations directed by individuals,11/10/23,Deposit,9UV35178ER036441J,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53 ,"$60,953.93 "
PayPal Fees,11/10/23,Deposit,9UV35178ER036441J,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53 ,"$60,956.46 "
PayPal Bank 3,11/10/23,Deposit,1H080363RR630732D,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 1H080363RR630732Dhttps://www.paypal.com/activity/payment/1H080363RR630732D,PayPal Bank 3,--,$29.81 ,"$60,986.27 "
Donations directed by individuals,11/10/23,Deposit,1H080363RR630732D,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$31.40 ,"$61,017.67 "
PayPal Fees,11/10/23,Deposit,1H080363RR630732D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.59 ,"$61,019.26 "
PayPal Bank 3,11/10/23,Deposit,8DU565541T2160140,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 8DU565541T2160140https://www.paypal.com/activity/payment/8DU565541T2160140,PayPal Bank 3,--,$244.53 ,"$61,263.79 "
Donations directed by individuals,11/10/23,Deposit,8DU565541T2160140,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$250.00 ,"$61,513.79 "
PayPal Fees,11/10/23,Deposit,8DU565541T2160140,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$5.47 ,"$61,519.26 "
PayPal Bank 3,11/10/23,Deposit,97C07921F3708191D,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 97C07921F3708191Dhttps://www.paypal.com/activity/payment/97C07921F3708191D,PayPal Bank 3,--,$49.23 ,"$61,568.49 "
Donations directed by individuals,11/10/23,Deposit,97C07921F3708191D,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$61,620.01 "
PayPal Fees,11/10/23,Deposit,97C07921F3708191D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.29 ,"$61,622.30 "
PayPal Bank 3,11/9/23,Deposit,6AC425960S3157333,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 6AC425960S3157333https://www.paypal.com/activity/payment/6AC425960S3157333,PayPal Bank 3,--,$196.93 ,"$61,819.23 "
Donations directed by individuals,11/9/23,Deposit,6AC425960S3157333,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$204.56 ,"$62,023.79 "
PayPal Fees,11/9/23,Deposit,6AC425960S3157333,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$7.63 ,"$62,031.42 "
PayPal Bank 3,11/9/23,Deposit,88J63350RK9817538,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 88J63350RK9817538https://www.paypal.com/activity/payment/88J63350RK9817538,PayPal Bank 3,--,$50.00 ,"$62,081.42 "
Donations directed by individuals,11/9/23,Deposit,88J63350RK9817538,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$62,132.94 "
PayPal Fees,11/9/23,Deposit,88J63350RK9817538,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52 ,"$62,134.46 "
PayPal Bank 3,11/8/23,Deposit,3BM45253DS8382105,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 3BM45253DS8382105https://www.paypal.com/activity/payment/3BM45253DS8382105,PayPal Bank 3,--,$492.34 ,"$62,626.80 "
Donations directed by individuals,11/8/23,Deposit,3BM45253DS8382105,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$510.65 ,"$63,137.45 "
PayPal Fees,11/8/23,Deposit,3BM45253DS8382105,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$18.31 ,"$63,155.76 "
PayPal Bank 3,11/8/23,Deposit,8ND56931PM159324A,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 8ND56931PM159324Ahttps://www.paypal.com/activity/payment/8ND56931PM159324A,PayPal Bank 3,--,$4.34 ,"$63,160.10 "
Donations directed by individuals,11/8/23,Deposit,8ND56931PM159324A,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$5.00 ,"$63,165.10 "
PayPal Fees,11/8/23,Deposit,8ND56931PM159324A,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.66 ,"$63,165.76 "
PayPal Bank 3,11/8/23,Deposit,4NU25664KM384682N,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 4NU25664KM384682Nhttps://www.paypal.com/activity/payment/4NU25664KM384682N,PayPal Bank 3,--,$24.01 ,"$63,189.77 "
Donations directed by individuals,11/8/23,Deposit,4NU25664KM384682N,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$25.00 ,"$63,214.77 "
PayPal Fees,11/8/23,Deposit,4NU25664KM384682N,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.99 ,"$63,215.76 "
PayPal Bank 3,11/8/23,Deposit,2E109844K8437032H,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 2E109844K8437032Hhttps://www.paypal.com/activity/payment/2E109844K8437032H,PayPal Bank 3,--,$587.57 ,"$63,803.33 "
Donations directed by individuals,11/8/23,Deposit,2E109844K8437032H,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$600.00 ,"$64,403.33 "
PayPal Fees,11/8/23,Deposit,2E109844K8437032H,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$12.43 ,"$64,415.76 "
PayPal Bank 3,11/8/23,Deposit,6D152917S27452359,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 6D152917S27452359https://www.paypal.com/activity/payment/6D152917S27452359,PayPal Bank 3,--,$24.01 ,"$64,439.77 "
Donations directed by individuals,11/8/23,Deposit,6D152917S27452359,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$25.00 ,"$64,464.77 "
PayPal Fees,11/8/23,Deposit,6D152917S27452359,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.99 ,"$64,465.76 "
PayPal Bank 3,11/7/23,Deposit,7D7638180F816601D,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 7D7638180F816601Dhttps://www.paypal.com/activity/payment/7D7638180F816601D,PayPal Bank 3,--,$50.00 ,"$64,515.76 "
Donations directed by individuals,11/7/23,Deposit,7D7638180F816601D,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$64,567.28 "
PayPal Fees,11/7/23,Deposit,7D7638180F816601D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52 ,"$64,568.80 "
PayPal Bank 3,11/7/23,Deposit,9X597589P7464142X,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 9X597589P7464142Xhttps://www.paypal.com/activity/payment/9X597589P7464142X,PayPal Bank 3,--,$14.76 ,"$64,583.56 "
Donations directed by individuals,11/7/23,Deposit,9X597589P7464142X,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$15.80 ,"$64,599.36 "
PayPal Fees,11/7/23,Deposit,9X597589P7464142X,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.04 ,"$64,600.40 "
PayPal Bank 3,11/7/23,Deposit,6NA26645VV291590K,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 6NA26645VV291590Khttps://www.paypal.com/activity/payment/6NA26645VV291590K,PayPal Bank 3,--,$29.53 ,"$64,629.93 "
Donations directed by individuals,11/7/23,Deposit,6NA26645VV291590K,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$31.11 ,"$64,661.04 "
PayPal Fees,11/7/23,Deposit,6NA26645VV291590K,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.58 ,"$64,662.62 "
PayPal Bank 3,11/6/23,Deposit,82566927NW225203G,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 82566927NW225203Ghttps://www.paypal.com/activity/payment/82566927NW225203G,PayPal Bank 3,--,$50.00 ,"$64,712.62 "
Donations directed by individuals,11/6/23,Deposit,82566927NW225203G,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$64,764.14 "
PayPal Fees,11/6/23,Deposit,82566927NW225203G,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52 ,"$64,765.66 "
PayPal Bank 3,11/6/23,Deposit,4S825731PT536113T,04 PAYPAL GENERAL UNRESTR,Transaction ID: 4S825731PT536113Thttps://www.paypal.com/activity/payment/4S825731PT536113T,PayPal Bank 3,Donations directed by individuals,$30.57 ,"$64,796.23 "
Donations directed by individuals,11/6/23,Deposit,4S825731PT536113T,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$30.57 ,"$64,826.80 "
PayPal Bank 3,11/6/23,Deposit,4CS40352D7239531V,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 4CS40352D7239531Vhttps://www.paypal.com/activity/payment/4CS40352D7239531V,PayPal Bank 3,--,$4.34 ,"$64,831.14 "
Donations directed by individuals,11/6/23,Deposit,4CS40352D7239531V,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$5.00 ,"$64,836.14 "
PayPal Fees,11/6/23,Deposit,4CS40352D7239531V,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.66 ,"$64,836.80 "
PayPal Bank 3,11/6/23,Deposit,7J1330564C9419710,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7J1330564C9419710https://www.paypal.com/activity/payment/7J1330564C9419710,PayPal Bank 3,--,$96.02 ,"$64,932.82 "
Donations directed by individuals,11/6/23,Deposit,7J1330564C9419710,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00 ,"$65,032.82 "
PayPal Fees,11/6/23,Deposit,7J1330564C9419710,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.98 ,"$65,036.80 "
PayPal Bank 3,11/6/23,Deposit,0L889328759168148,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 0L889328759168148https://www.paypal.com/activity/payment/0L889328759168148,PayPal Bank 3,--,$69.00 ,"$65,105.80 "
Donations directed by individuals,11/6/23,Deposit,0L889328759168148,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$72.00 ,"$65,177.80 "
PayPal Fees,11/6/23,Deposit,0L889328759168148,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.00 ,"$65,180.80 "
PayPal Bank 3,11/5/23,Deposit,4DF52576C2571600D,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 4DF52576C2571600Dhttps://www.paypal.com/activity/payment/4DF52576C2571600D,PayPal Bank 3,--,$34.79 ,"$65,215.59 "
Donations directed by individuals,11/5/23,Deposit,4DF52576C2571600D,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$36.00 ,"$65,251.59 "
PayPal Fees,11/5/23,Deposit,4DF52576C2571600D,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.21 ,"$65,252.80 "
PayPal Bank 3,11/5/23,Deposit,9X960290TE256110F,07 1000 DRONES RESTR,Subject: 1000 DRONES FOR UKRAINETransaction ID: 9X960290TE256110Fhttps://www.paypal.com/activity/payment/9X960290TE256110F,PayPal Bank 3,--,$24.84 ,"$65,277.64 "
Donations directed by individuals,11/5/23,Deposit,9X960290TE256110F,07 1000 DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.25 ,"$65,303.89 "
PayPal Fees,11/5/23,Deposit,9X960290TE256110F,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.41 ,"$65,305.30 "
PayPal Bank 3,11/5/23,Deposit,5DF10798AN556245H,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 5DF10798AN556245Hhttps://www.paypal.com/activity/payment/5DF10798AN556245H,PayPal Bank 3,--,$49.23 ,"$65,354.53 "
Donations directed by individuals,11/5/23,Deposit,5DF10798AN556245H,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$65,406.05 "
PayPal Fees,11/5/23,Deposit,5DF10798AN556245H,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.29 ,"$65,408.34 "
PayPal Bank 3,11/5/23,Deposit,4YB35206YB127561M,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageNote: Glory to UkraineTransaction ID: 4YB35206YB127561Mhttps://www.paypal.com/activity/payment/4YB35206YB127561M,PayPal Bank 3,--,$489.56 ,"$65,897.90 "
Donations directed by individuals,11/5/23,Deposit,4YB35206YB127561M,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$500.00 ,"$66,397.90 "
PayPal Fees,11/5/23,Deposit,4YB35206YB127561M,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$10.44 ,"$66,408.34 "
PayPal Bank 3,11/5/23,Deposit,1TV21081GK059772S,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 1TV21081GK059772Shttps://www.paypal.com/activity/payment/1TV21081GK059772S,PayPal Bank 3,--,$11.92 ,"$66,420.26 "
Donations directed by individuals,11/5/23,Deposit,1TV21081GK059772S,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$12.86 ,"$66,433.12 "
PayPal Fees,11/5/23,Deposit,1TV21081GK059772S,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.94 ,"$66,434.06 "
PayPal Bank 3,11/5/23,Deposit,3PS78966SG9335847,07 1000 DRONES RESTR,Subject: 1000 DRONES FOR UKRAINETransaction ID: 3PS78966SG9335847https://www.paypal.com/activity/payment/3PS78966SG9335847,PayPal Bank 3,--,$10.93 ,"$66,444.99 "
Donations directed by individuals,11/5/23,Deposit,3PS78966SG9335847,07 1000 DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$11.83 ,"$66,456.82 "
PayPal Fees,11/5/23,Deposit,3PS78966SG9335847,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.90 ,"$66,457.72 "
PayPal Bank 3,11/5/23,Deposit,3KG50446G6980404Y,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 3KG50446G6980404Yhttps://www.paypal.com/activity/payment/3KG50446G6980404Y,PayPal Bank 3,--,$47.76 ,"$66,505.48 "
Donations directed by individuals,11/5/23,Deposit,3KG50446G6980404Y,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00 ,"$66,555.48 "
PayPal Fees,11/5/23,Deposit,3KG50446G6980404Y,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.24 ,"$66,557.72 "
PayPal Bank 3,11/5/23,Deposit,2FD91573BU3783408,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 2FD91573BU3783408https://www.paypal.com/activity/payment/2FD91573BU3783408,PayPal Bank 3,--,$50.00 ,"$66,607.72 "
Donations directed by individuals,11/5/23,Deposit,2FD91573BU3783408,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$66,659.24 "
PayPal Fees,11/5/23,Deposit,2FD91573BU3783408,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52 ,"$66,660.76 "
PayPal Bank 3,11/5/23,Deposit,2LT016854L959084U,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 2LT016854L959084Uhttps://www.paypal.com/activity/payment/2LT016854L959084U,PayPal Bank 3,--,$300.00 ,"$66,960.76 "
Donations directed by individuals,11/5/23,Deposit,2LT016854L959084U,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$306.59 ,"$67,267.35 "
PayPal Fees,11/5/23,Deposit,2LT016854L959084U,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$6.59 ,"$67,273.94 "
PayPal Bank 3,11/5/23,Deposit,6EU44732M2785030E,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 6EU44732M2785030Ehttps://www.paypal.com/activity/payment/6EU44732M2785030E,PayPal Bank 3,--,$98.46 ,"$67,372.40 "
Donations directed by individuals,11/5/23,Deposit,6EU44732M2785030E,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53 ,"$67,474.93 "
PayPal Fees,11/5/23,Deposit,6EU44732M2785030E,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.07 ,"$67,479.00 "
PayPal Bank 3,11/5/23,Deposit,2CC666159C950690R,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 2CC666159C950690Rhttps://www.paypal.com/activity/payment/2CC666159C950690R,PayPal Bank 3,--,$9.84 ,"$67,488.84 "
Donations directed by individuals,11/5/23,Deposit,2CC666159C950690R,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.70 ,"$67,499.54 "
PayPal Fees,11/5/23,Deposit,2CC666159C950690R,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.86 ,"$67,500.40 "
PayPal Bank 3,11/5/23,Deposit,01J482401B636171F,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 01J482401B636171Fhttps://www.paypal.com/activity/payment/01J482401B636171F,PayPal Bank 3,--,$98.46 ,"$67,598.86 "
Donations directed by individuals,11/5/23,Deposit,01J482401B636171F,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53 ,"$67,701.39 "
PayPal Fees,11/5/23,Deposit,01J482401B636171F,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.07 ,"$67,705.46 "
PayPal Bank 3,11/5/23,Deposit,0RF43823UR961231Y,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 0RF43823UR961231Yhttps://www.paypal.com/activity/payment/0RF43823UR961231Y,PayPal Bank 3,--,$9.31 ,"$67,714.77 "
Donations directed by individuals,11/5/23,Deposit,0RF43823UR961231Y,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00 ,"$67,724.77 "
PayPal Fees,11/5/23,Deposit,0RF43823UR961231Y,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.69 ,"$67,725.46 "
PayPal Bank 3,11/5/23,Deposit,4RK44825YF203294X,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 4RK44825YF203294Xhttps://www.paypal.com/activity/payment/4RK44825YF203294X,PayPal Bank 3,--,$98.46 ,"$67,823.92 "
Donations directed by individuals,11/5/23,Deposit,4RK44825YF203294X,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53 ,"$67,926.45 "
PayPal Fees,11/5/23,Deposit,4RK44825YF203294X,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.07 ,"$67,930.52 "
PayPal Bank 3,11/5/23,Deposit,8RD43581YN547854B,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 8RD43581YN547854Bhttps://www.paypal.com/activity/payment/8RD43581YN547854B,PayPal Bank 3,--,$97.52 ,"$68,028.04 "
Donations directed by individuals,11/5/23,Deposit,8RD43581YN547854B,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00 ,"$68,128.04 "
PayPal Fees,11/5/23,Deposit,8RD43581YN547854B,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.48 ,"$68,130.52 "
PayPal Bank 3,11/5/23,Deposit,2AR2865650922993Y,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 2AR2865650922993Yhttps://www.paypal.com/activity/payment/2AR2865650922993Y,PayPal Bank 3,--,$29.81 ,"$68,160.33 "
Donations directed by individuals,11/5/23,Deposit,2AR2865650922993Y,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$31.40 ,"$68,191.73 "
PayPal Fees,11/5/23,Deposit,2AR2865650922993Y,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.59 ,"$68,193.32 "
PayPal Bank 3,11/5/23,Deposit,25589971AV562435E,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 25589971AV562435Ehttps://www.paypal.com/activity/payment/25589971AV562435E,PayPal Bank 3,--,$33.29 ,"$68,226.61 "
Donations directed by individuals,11/5/23,Deposit,25589971AV562435E,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$35.00 ,"$68,261.61 "
