Account,Date,Transaction type,Num,Name,Description,Full name,Account,Amount,Balance
Donations directed by individuals,12/8/23,Deposit,25H34426BN748013R,08 VICTORY DRONES RESTR,VICTORY DRONES - VICTORY DRONES,Contributed income:Donations directed by individuals,PayPal Bank 3,$204.56 ,"$4,295.82 "
PayPal Fees,12/8/23,Deposit,25H34426BN748013R,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.56 ,"$4,300.38 "
PayPal Bank 3,12/8/23,Deposit,4DK88987LY323880E,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 4DK88987LY323880Ehttps://www.paypal.com/activity/payment/4DK88987LY323880E,PayPal Bank 3,--,$289.04 ,"$4,589.42 "
Donations directed by individuals,12/8/23,Deposit,4DK88987LY323880E,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$300.00 ,"$4,889.42 "
PayPal Fees,12/8/23,Deposit,4DK88987LY323880E,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$10.96 ,"$4,900.38 "
PayPal Bank 3,12/8/23,Deposit,4MG76353H5466671X,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 4MG76353H5466671Xhttps://www.paypal.com/activity/payment/4MG76353H5466671X,PayPal Bank 3,--,$50.00 ,"$4,950.38 "
Donations directed by individuals,12/8/23,Deposit,4MG76353H5466671X,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$5,001.90 "
PayPal Fees,12/8/23,Deposit,4MG76353H5466671X,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52 ,"$5,003.42 "
PayPal Bank 3,12/8/23,Deposit,6CM76732T2981341B,04 PAYPAL GENERAL UNRESTR,Transaction ID: 6CM76732T2981341Bhttps://www.paypal.com/activity/payment/6CM76732T2981341B,PayPal Bank 3,--,$18.81 ,"$5,022.23 "
Donations directed by individuals,12/8/23,Deposit,6CM76732T2981341B,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00 ,"$5,042.23 "
PayPal Fees,12/8/23,Deposit,6CM76732T2981341B,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19 ,"$5,043.42 "
CHASE ENDING IN 5315,12/7/23,Deposit,--,05 VENMO UNRESTR,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:231206 CO ENTRY DESCR:CASHOUT SEC:PPD TRACE#:XXXXXXXX8378575 EED:231207 IND ID: IND NAME:OKSANA PATRINA TRN: 341 XXX8575TC,CHASE ENDING IN 5315,Donations directed by individuals,$307.55 ,"$5,350.97 "
Donations directed by individuals,12/7/23,Deposit,--,05 VENMO UNRESTR,ORIG CO NAME:VENMO ORIG ID:XXXXXX1992 DESC DATE:231206 CO ENTRY DESCR:CASHOUT SEC:PPD TRACE#:XXXXXXXX8378575 EED:231207 IND ID: IND NAME:OKSANA PATRINA TRN: 341 XXX8575TC,Contributed income:Donations directed by individuals,CHASE ENDING IN 5315,$307.55 ,"$5,658.52 "
PayPal Bank 3,12/7/23,Deposit,6VJ30432WA6949726,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 6VJ30432WA6949726https://www.paypal.com/activity/payment/6VJ30432WA6949726,PayPal Bank 3,--,$23.64 ,"$5,682.16 "
Donations directed by individuals,12/7/23,Deposit,6VJ30432WA6949726,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$25.00 ,"$5,707.16 "
PayPal Fees,12/7/23,Deposit,6VJ30432WA6949726,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.36 ,"$5,708.52 "
PayPal Bank 3,12/7/23,Deposit,3A92242178001841H,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 3A92242178001841Hhttps://www.paypal.com/activity/payment/3A92242178001841H,PayPal Bank 3,--,$19.69 ,"$5,728.21 "
Donations directed by individuals,12/7/23,Deposit,3A92242178001841H,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.91 ,"$5,749.12 "
PayPal Fees,12/7/23,Deposit,3A92242178001841H,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.22 ,"$5,750.34 "
PayPal Bank 3,12/7/23,Deposit,16G39957TH4660849,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 16G39957TH4660849https://www.paypal.com/activity/payment/16G39957TH4660849,PayPal Bank 3,--,$100.00 ,"$5,850.34 "
Donations directed by individuals,12/7/23,Deposit,16G39957TH4660849,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53 ,"$5,952.87 "
PayPal Fees,12/7/23,Deposit,16G39957TH4660849,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53 ,"$5,955.40 "
PayPal Bank 3,12/7/23,Deposit,5T050799TE273571B,08 VICTORY DRONES RESTR,Subject: VictoryDronesTransaction ID: 5T050799TE273571Bhttps://www.paypal.com/activity/payment/5T050799TE273571B,PayPal Bank 3,--,$98.46 ,"$6,053.86 "
Donations directed by individuals,12/7/23,Deposit,5T050799TE273571B,08 VICTORY DRONES RESTR,VICTORY DRONES - VICTORY DRONES,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53 ,"$6,156.39 "
PayPal Fees,12/7/23,Deposit,5T050799TE273571B,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.07 ,"$6,160.46 "
PayPal Bank 3,12/7/23,Deposit,9DN51271Y32497935,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 9DN51271Y32497935https://www.paypal.com/activity/payment/9DN51271Y32497935,PayPal Bank 3,--,$69.00 ,"$6,229.46 "
Donations directed by individuals,12/7/23,Deposit,9DN51271Y32497935,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$72.00 ,"$6,301.46 "
PayPal Fees,12/7/23,Deposit,9DN51271Y32497935,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$3.00 ,"$6,304.46 "
PayPal Bank 3,12/7/23,Deposit,5MN74687FS529904N,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 5MN74687FS529904Nhttps://www.paypal.com/activity/payment/5MN74687FS529904N,PayPal Bank 3,--,$25.24 ,"$6,329.70 "
Donations directed by individuals,12/7/23,Deposit,5MN74687FS529904N,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$26.25 ,"$6,355.95 "
PayPal Fees,12/7/23,Deposit,5MN74687FS529904N,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.01 ,"$6,356.96 "
PayPal Bank 3,12/7/23,Deposit,2W854315L3416012M,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 2W854315L3416012Mhttps://www.paypal.com/activity/payment/2W854315L3416012M,PayPal Bank 3,--,$50.00 ,"$6,406.96 "
Donations directed by individuals,12/7/23,Deposit,2W854315L3416012M,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$6,458.48 "
PayPal Fees,12/7/23,Deposit,2W854315L3416012M,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52 ,"$6,460.00 "
PayPal Bank 3,12/7/23,Deposit,46527982XF8997645,08 VICTORY DRONES RESTR,Subject: VictoryDronesTransaction ID: 46527982XF8997645https://www.paypal.com/activity/payment/46527982XF8997645,PayPal Bank 3,--,$9.84 ,"$6,469.84 "
Donations directed by individuals,12/7/23,Deposit,46527982XF8997645,08 VICTORY DRONES RESTR,VICTORY DRONES - VICTORY DRONES,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.70 ,"$6,480.54 "
PayPal Fees,12/7/23,Deposit,46527982XF8997645,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.86 ,"$6,481.40 "
PayPal Bank 3,12/7/23,Deposit,7VT209923Y3994633,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 7VT209923Y3994633https://www.paypal.com/activity/payment/7VT209923Y3994633,PayPal Bank 3,--,$47.76 ,"$6,529.16 "
Donations directed by individuals,12/7/23,Deposit,7VT209923Y3994633,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00 ,"$6,579.16 "
PayPal Fees,12/7/23,Deposit,7VT209923Y3994633,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.24 ,"$6,581.40 "
PayPal Bank 3,12/7/23,Deposit,0XC328831F4214212,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 0XC328831F4214212https://www.paypal.com/activity/payment/0XC328831F4214212,PayPal Bank 3,--,$9.16 ,"$6,590.56 "
Donations directed by individuals,12/7/23,Deposit,0XC328831F4214212,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$10.00 ,"$6,600.56 "
PayPal Fees,12/7/23,Deposit,0XC328831F4214212,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.84 ,"$6,601.40 "
PayPal Bank 3,12/6/23,Deposit,2V7375441P885850N,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 2V7375441P885850Nhttps://www.paypal.com/activity/payment/2V7375441P885850N,PayPal Bank 3,--,$4.34 ,"$6,605.74 "
Donations directed by individuals,12/6/23,Deposit,2V7375441P885850N,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$5.00 ,"$6,610.74 "
PayPal Fees,12/6/23,Deposit,2V7375441P885850N,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.66 ,"$6,611.40 "
PayPal Bank 3,12/6/23,Deposit,1WU040811L2653253,07 1000 DRONES RESTR,Subject: GeneralPageNote: На бомби з дронами для руссні.Transaction ID: 1WU040811L2653253https://www.paypal.com/activity/payment/1WU040811L2653253,PayPal Bank 3,--,$195.53 ,"$6,806.93 "
Donations directed by individuals,12/6/23,Deposit,1WU040811L2653253,07 1000 DRONES RESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$200.00 ,"$7,006.93 "
PayPal Fees,12/6/23,Deposit,1WU040811L2653253,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.47 ,"$7,011.40 "
