Date,Category,UAH
2023-12-13,Admin,85.0
2023-11-13,Admin,85.0
2023-10-25,Admin,194.0
2023-10-25,General Donations,1192.29
2023-10-23,Victory Drones,238000.0
2023-10-19,1000 Drones For Ukraine,95000.0
2023-10-17,Victory Drones,333000.0
2023-10-13,Admin,85.0
2023-09-28,General Donations,6474.59
2023-09-24,General Donations,134.0
2023-09-24,General Donations,210.0
2023-09-24,General Donations,52.27
2023-09-24,General Donations,502.0
2023-09-24,General Donations,50.87
2023-09-24,General Donations,58.7
2023-09-24,General Donations,92.54
2023-09-24,General Donations,124.0
2023-09-24,General Donations,1316.61
2023-09-13,Admin,85.0
2023-09-13,Drone Purchases,169502.3
2023-08-15,General Donations,285.0
2023-08-15,General Donations,600.0
2023-08-14,Admin,15.0
2023-08-14,Admin,42.5
2023-08-10,Admin,15.0
2023-08-09,Supplies And Materials,1650.6
2023-06-29,General Donations,754.77
2023-06-23,General Donations,589.55
2023-06-21,Admin,20.0
2023-06-14,Supplies And Materials,2288.8
2023-06-12,General Donations,489.66
2023-06-12,General Donations,341.4
2023-06-12,General Donations,250.0
2023-06-07,General Donations,49.06
2023-06-06,General Donations,1000.0
2023-06-05,General Donations,411.57
2023-06-05,General Donations,999.0
2023-06-04,General Donations,60.0
2023-06-04,General Donations,91.54
2023-06-04,General Donations,1.0
2023-05-31,Admin,15.0
2023-05-30,Admin,0.21
2023-05-30,Admin,0.16
2023-05-30,General Donations,0.01
,,
