Date,UAH
2023-10-31,537.07
2023-08-31,17.47
2023-08-31,711.2
2023-07-31,434.98
2023-06-30,223.82
2023-05-31,232.82
2023-04-30,199.92
2023-03-31,91.63
2023-02-28,231.33
