Date,Category,UAH,Payment method
2023-11-20,General Donations,100.0,PayPal
2023-11-20,General Donations,72.0,PayPal
2023-11-20,1000 Drones For Ukraine,20.91,PayPal
2023-11-20,General Donations,10.0,PayPal
2023-11-19,General Donations,10.0,PayPal
2023-11-19,1000 Drones For Ukraine,20.0,PayPal
2023-11-19,General Donations,10.8,PayPal
2023-11-19,General Donations,49.93,PayPal
2023-11-19,General Donations,21.1,PayPal
2023-11-19,General Donations,10.0,PayPal
2023-11-18,General Donations,20.91,PayPal
2023-11-18,General Donations,102.53,PayPal
2023-11-18,General Donations,204.56,PayPal
2023-11-18,General Donations,50.0,PayPal
2023-11-18,Mobile Shower Units,50.0,PayPal
2023-11-18,General Donations,20.0,PayPal
2023-11-17,Victory Drones,3.59,PayPal
2023-11-17,General Donations,15.8,PayPal
2023-11-17,Mobile Shower Units,50.0,PayPal
2023-11-17,General Donations,50.0,PayPal
2023-11-17,Mobile Shower Units,10.0,PayPal
2023-11-17,Mobile Shower Units,700.0,PayPal
2023-11-16,General Donations,20.91,PayPal
2023-11-16,General Donations,22.22,PayPal
2023-11-16,General Donations,100.0,PayPal
2023-11-16,General Donations,103.48,PayPal
2023-11-15,General Donations,31.11,PayPal
2023-11-15,General Donations,357.61,PayPal
2023-11-14,1000 Drones For Ukraine,10.7,PayPal
2023-11-14,General Donations,10.7,PayPal
2023-11-13,Flight To Recovery,51.52,PayPal
2023-11-13,General Donations,31.11,PayPal
2023-11-13,General Donations,50.0,PayPal
2023-11-13,General Donations,2041.11,PayPal
2023-11-13,General Donations,26.25,PayPal
2023-11-13,General Donations,102.53,PayPal
2023-11-13,Mobile Shower Units,510.65,PayPal
2023-11-12,General Donations,51.99,PayPal
2023-11-12,General Donations,36.0,PayPal
2023-11-11,Mobile Shower Units,400.0,PayPal
2023-11-11,1000 Drones For Ukraine,100.0,PayPal
2023-11-11,General Donations,50.0,PayPal
2023-11-11,General Donations,5.65,PayPal
2023-11-11,General Donations,25.0,PayPal
2023-11-11,General Donations,103.48,PayPal
2023-11-11,General Donations,20.0,PayPal
2023-11-10,General Donations,102.53,PayPal
2023-11-10,Mobile Shower Units,100.0,PayPal
2023-11-10,General Donations,51.52,PayPal
2023-11-10,Mobile Shower Units,10.0,PayPal
2023-11-10,General Donations,102.53,PayPal
2023-11-10,General Donations,31.4,PayPal
2023-11-10,Mobile Shower Units,250.0,PayPal
2023-11-10,General Donations,51.52,PayPal
2023-11-09,1000 Drones For Ukraine,204.56,PayPal
2023-11-09,General Donations,51.52,PayPal
2023-11-08,General Donations,510.65,PayPal
2023-11-08,General Donations,5.0,PayPal
2023-11-08,Mobile Shower Units,25.0,PayPal
2023-11-08,General Donations,600.0,PayPal
2023-11-08,Mobile Shower Units,25.0,PayPal
2023-11-07,General Donations,51.52,PayPal
2023-11-07,General Donations,15.8,PayPal
2023-11-07,General Donations,31.11,PayPal
2023-11-06,General Donations,51.52,PayPal
2023-11-06,General Donations,30.57,PayPal
2023-11-06,General Donations,5.0,PayPal
2023-11-06,General Donations,100.0,PayPal
2023-11-06,General Donations,72.0,PayPal
2023-11-05,General Donations,36.0,PayPal
2023-11-05,1000 Drones For Ukraine,26.25,PayPal
2023-11-05,General Donations,51.52,PayPal
2023-11-05,General Donations,500.0,PayPal
2023-11-05,General Donations,12.86,PayPal
2023-11-05,1000 Drones For Ukraine,11.83,PayPal
2023-11-05,General Donations,50.0,PayPal
2023-11-05,General Donations,51.52,PayPal
2023-11-05,General Donations,306.59,PayPal
2023-11-05,1000 Drones For Ukraine,102.53,PayPal
